in Hz,Spectrum in dBm
1.6754150E+02,-6.92069E+01
1.6784668E+02,-9.49069E+01
1.6815186E+02,-6.82469E+01
1.6845703E+02,-6.51269E+01
1.6876221E+02,-7.05669E+01
1.6906738E+02,-7.74869E+01
1.6937256E+02,-6.54869E+01
1.6967773E+02,-5.94669E+01
1.6998291E+02,-5.64869E+01
1.7028809E+02,-5.72269E+01
1.7059326E+02,-6.06069E+01
1.7089844E+02,-6.62269E+01
1.7120361E+02,-7.23269E+01
1.7150879E+02,-6.27469E+01
1.7181396E+02,-6.17069E+01
1.7211914E+02,-5.99869E+01
1.7242432E+02,-6.04869E+01
1.7272949E+02,-6.76669E+01
1.7303467E+02,-7.05269E+01
1.7333984E+02,-5.89269E+01
1.7364502E+02,-5.44669E+01
1.7395020E+02,-5.39869E+01
1.7425537E+02,-5.52469E+01
1.7456055E+02,-5.69069E+01
1.7486572E+02,-6.01469E+01
1.7517090E+02,-6.65269E+01
1.7547607E+02,-6.73069E+01
1.7578125E+02,-6.31869E+01
1.7608643E+02,-6.18269E+01
1.7639160E+02,-6.18269E+01
1.7669678E+02,-6.23269E+01
1.7700195E+02,-6.29069E+01
1.7730713E+02,-6.35669E+01
1.7761230E+02,-6.18669E+01
1.7791748E+02,-5.83669E+01
1.7822266E+02,-5.48069E+01
1.7852783E+02,-5.31869E+01
1.7883301E+02,-5.35669E+01
1.7913818E+02,-5.42669E+01
1.7944336E+02,-5.64069E+01
1.7974854E+02,-5.96269E+01
1.8005371E+02,-6.15269E+01
1.8035889E+02,-6.12669E+01
1.8066406E+02,-5.96269E+01
1.8096924E+02,-5.99869E+01
1.8127441E+02,-6.14269E+01
1.8157959E+02,-6.27669E+01
1.8188477E+02,-6.58469E+01
1.8218994E+02,-6.66269E+01
1.8249512E+02,-6.59669E+01
1.8280029E+02,-7.17469E+01
1.8310547E+02,-6.91069E+01
1.8341064E+02,-6.20869E+01
1.8371582E+02,-6.03269E+01
1.8402100E+02,-6.17069E+01
1.8432617E+02,-6.29669E+01
1.8463135E+02,-7.59269E+01
1.8493652E+02,-6.65069E+01
1.8524170E+02,-6.19469E+01
1.8554688E+02,-5.81869E+01
1.8585205E+02,-5.66669E+01
1.8615723E+02,-5.79069E+01
1.8646240E+02,-5.88469E+01
1.8676758E+02,-5.77469E+01
1.8707275E+02,-5.63269E+01
1.8737793E+02,-5.67669E+01
1.8768311E+02,-6.04269E+01
1.8798828E+02,-7.28469E+01
1.8829346E+02,-6.46469E+01
1.8859863E+02,-5.86469E+01
1.8890381E+02,-5.82069E+01
1.8920898E+02,-6.05269E+01
1.8951416E+02,-6.41669E+01
1.8981934E+02,-6.91469E+01
1.9012451E+02,-7.23469E+01
1.9042969E+02,-7.77269E+01
1.9073486E+02,-7.15269E+01
