in s,C2 in V
-4.7804800E-04,8.04961E-01
-4.7802960E-04,7.95195E-01
-4.7801120E-04,8.04961E-01
-4.7799280E-04,7.75664E-01
-4.7797440E-04,7.46367E-01
-4.7795600E-04,8.53789E-01
-4.7793760E-04,7.85430E-01
-4.7791920E-04,7.36602E-01
-4.7790080E-04,7.65898E-01
-4.7788240E-04,8.14727E-01
-4.7786400E-04,7.85430E-01
-4.7784560E-04,7.85430E-01
-4.7782720E-04,7.95195E-01
-4.7780880E-04,8.04961E-01
-4.7779040E-04,7.85430E-01
-4.7777200E-04,7.46367E-01
-4.7775360E-04,8.44023E-01
-4.7773520E-04,8.24492E-01
-4.7771680E-04,8.24492E-01
-4.7769840E-04,8.34258E-01
-4.7768000E-04,8.34258E-01
-4.7766160E-04,8.34258E-01
-4.7764320E-04,8.24492E-01
-4.7762480E-04,8.04961E-01
-4.7760640E-04,8.44023E-01
-4.7758800E-04,8.14727E-01
-4.7756960E-04,7.85430E-01
-4.7755120E-04,7.65898E-01
-4.7753280E-04,7.85430E-01
-4.7751440E-04,7.95195E-01
-4.7749600E-04,7.95195E-01
-4.7747760E-04,7.75664E-01
-4.7745920E-04,8.24492E-01
-4.7744080E-04,8.14727E-01
-4.7742240E-04,7.46367E-01
-4.7740400E-04,8.04961E-01
-4.7738560E-04,8.24492E-01
-4.7736720E-04,8.14727E-01
-4.7734880E-04,8.44023E-01
-4.7733040E-04,8.44023E-01
-4.7731200E-04,8.24492E-01
-4.7729360E-04,8.24492E-01
-4.7727520E-04,8.34258E-01
-4.7725680E-04,9.02617E-01
-4.7723840E-04,8.63555E-01
-4.7722000E-04,8.04961E-01
-4.7720160E-04,8.34258E-01
-4.7718320E-04,8.24492E-01
-4.7716480E-04,8.24492E-01
-4.7714640E-04,8.63555E-01
-4.7712800E-04,8.24492E-01
-4.7710960E-04,8.53789E-01
-4.7709120E-04,8.34258E-01
-4.7707280E-04,7.85430E-01
-4.7705440E-04,8.63555E-01
-4.7703600E-04,8.63555E-01
-4.7701760E-04,8.53789E-01
-4.7699920E-04,8.53789E-01
-4.7698080E-04,8.53789E-01
-4.7696240E-04,8.63555E-01
-4.7694400E-04,8.34258E-01
-4.7692560E-04,8.34258E-01
-4.7690720E-04,8.34258E-01
-4.7688880E-04,8.63555E-01
-4.7687040E-04,8.04961E-01
-4.7685200E-04,8.14727E-01
-4.7683360E-04,8.24492E-01
-4.7681520E-04,8.34258E-01
-4.7679680E-04,8.34258E-01
-4.7677840E-04,8.44023E-01
-4.7676000E-04,8.63555E-01
-4.7674160E-04,8.63555E-01
-4.7672320E-04,7.56133E-01
-4.7670480E-04,8.73320E-01
-4.7668640E-04,8.83086E-01
-4.7666800E-04,8.83086E-01
