in s,C2 in V
-5.9766912E-02,-4.81352E+00
-5.9765984E-02,-4.89164E+00
-5.9765056E-02,-4.91117E+00
-5.9764128E-02,-4.91117E+00
-5.9763200E-02,-4.91117E+00
-5.9762272E-02,-4.93070E+00
-5.9761344E-02,-4.91117E+00
-5.9760416E-02,-4.91117E+00
-5.9759488E-02,-4.89164E+00
-5.9758560E-02,-4.85258E+00
-5.9757632E-02,-4.87211E+00
-5.9756704E-02,-4.89164E+00
-5.9755776E-02,-4.89164E+00
-5.9754848E-02,-4.89164E+00
-5.9753920E-02,-4.85258E+00
-5.9752992E-02,-4.83305E+00
-5.9752064E-02,-4.91117E+00
-5.9751136E-02,-4.89164E+00
-5.9750208E-02,-4.87211E+00
-5.9749280E-02,-4.93070E+00
-5.9748352E-02,-4.91117E+00
-5.9747424E-02,-4.93070E+00
-5.9746496E-02,-4.87211E+00
-5.9745568E-02,-4.91117E+00
-5.9744640E-02,-4.89164E+00
-5.9743712E-02,-4.89164E+00
-5.9742784E-02,-4.85258E+00
-5.9741856E-02,-4.83305E+00
-5.9740928E-02,-4.87211E+00
-5.9740000E-02,-4.91117E+00
-5.9739072E-02,-4.89164E+00
-5.9738144E-02,-4.85258E+00
-5.9737216E-02,-4.87211E+00
-5.9736288E-02,-4.91117E+00
-5.9735360E-02,-4.89164E+00
-5.9734432E-02,-4.89164E+00
-5.9733504E-02,-4.89164E+00
-5.9732576E-02,-4.89164E+00
-5.9731648E-02,-4.91117E+00
-5.9730720E-02,-4.89164E+00
-5.9729792E-02,-4.89164E+00
-5.9728864E-02,-4.87211E+00
-5.9727936E-02,-4.81352E+00
-5.9727008E-02,-4.81352E+00
-5.9726080E-02,-4.83305E+00
-5.9725152E-02,-4.91117E+00
-5.9724224E-02,-4.89164E+00
-5.9723296E-02,-4.85258E+00
-5.9722368E-02,-4.91117E+00
-5.9721440E-02,-4.91117E+00
-5.9720512E-02,-4.89164E+00
-5.9719584E-02,-4.93070E+00
-5.9718656E-02,-4.83305E+00
-5.9717728E-02,-4.87211E+00
-5.9716800E-02,-4.87211E+00
-5.9715872E-02,-4.89164E+00
-5.9714944E-02,-4.87211E+00
-5.9714016E-02,-4.91117E+00
-5.9713088E-02,-4.89164E+00
-5.9712160E-02,-4.83305E+00
-5.9711232E-02,-4.85258E+00
-5.9710304E-02,-4.87211E+00
-5.9709376E-02,-4.95023E+00
-5.9708448E-02,-4.83305E+00
-5.9707520E-02,-4.85258E+00
-5.9706592E-02,-4.87211E+00
-5.9705664E-02,-4.91117E+00
-5.9704736E-02,-4.89164E+00
-5.9703808E-02,-4.89164E+00
-5.9702880E-02,-4.87211E+00
-5.9701952E-02,-4.89164E+00
-5.9701024E-02,-4.93070E+00
-5.9700096E-02,-4.85258E+00
-5.9699168E-02,-4.87211E+00
-5.9698240E-02,-4.85258E+00
-5.9697312E-02,-4.89164E+00
-5.9696384E-02,-4.89164E+00
-5.9695456E-02,-4.87211E+00
-5.9694528E-02,-4.91117E+00
-5.9693600E-02,-4.85258E+00
-5.9692672E-02,-4.85258E+00
-5.9691744E-02,-4.89164E+00
-5.9690816E-02,-4.89164E+00
-5.9689888E-02,-4.83305E+00
-5.9688960E-02,-4.89164E+00
-5.9688032E-02,-4.83305E+00
-5.9687104E-02,-4.87211E+00
-5.9686176E-02,-4.83305E+00
-5.9685248E-02,-4.87211E+00
-5.9684320E-02,-4.79398E+00
-5.9683392E-02,-4.85258E+00
-5.9682464E-02,-4.83305E+00
-5.9681536E-02,-4.89164E+00
-5.9680608E-02,-4.91117E+00
-5.9679680E-02,-4.87211E+00
-5.9678752E-02,-4.89164E+00
-5.9677824E-02,-4.89164E+00
-5.9676896E-02,-4.89164E+00
-5.9675968E-02,-4.85258E+00
-5.9675040E-02,-4.87211E+00
-5.9674112E-02,-4.89164E+00
-5.9673184E-02,-4.89164E+00
-5.9672256E-02,-4.83305E+00
-5.9671328E-02,-4.89164E+00
-5.9670400E-02,-4.89164E+00
-5.9669472E-02,-4.83305E+00
-5.9668544E-02,-4.87211E+00
-5.9667616E-02,-4.87211E+00
-5.9666688E-02,-4.87211E+00
-5.9665760E-02,-4.83305E+00
-5.9664832E-02,-4.93070E+00
-5.9663904E-02,-4.85258E+00
-5.9662976E-02,-4.85258E+00
-5.9662048E-02,-4.91117E+00
-5.9661120E-02,-4.89164E+00
-5.9660192E-02,-4.85258E+00
-5.9659264E-02,-4.83305E+00
-5.9658336E-02,-4.87211E+00
-5.9657408E-02,-4.83305E+00
-5.9656480E-02,-4.85258E+00
-5.9655552E-02,-4.83305E+00
-5.9654624E-02,-4.83305E+00
-5.9653696E-02,-4.83305E+00
-5.9652768E-02,-4.87211E+00
-5.9651840E-02,-4.85258E+00
-5.9650912E-02,-4.83305E+00
-5.9649984E-02,-4.83305E+00
-5.9649056E-02,-4.89164E+00
-5.9648128E-02,-4.79398E+00
-5.9647200E-02,-4.83305E+00
-5.9646272E-02,-4.89164E+00
-5.9645344E-02,-4.89164E+00
-5.9644416E-02,-4.85258E+00
-5.9643488E-02,-4.87211E+00
-5.9642560E-02,-4.89164E+00
-5.9641632E-02,-4.83305E+00
-5.9640704E-02,-4.83305E+00
-5.9639776E-02,-4.87211E+00
-5.9638848E-02,-4.81352E+00
-5.9637920E-02,-4.83305E+00
-5.9636992E-02,-4.83305E+00
-5.9636064E-02,-4.83305E+00
-5.9635136E-02,-4.89164E+00
-5.9634208E-02,-4.85258E+00
-5.9633280E-02,-4.83305E+00
-5.9632352E-02,-4.83305E+00
-5.9631424E-02,-4.91117E+00
-5.9630496E-02,-4.85258E+00
-5.9629568E-02,-4.91117E+00
-5.9628640E-02,-4.87211E+00
-5.9627712E-02,-4.87211E+00
-5.9626784E-02,-4.85258E+00
-5.9625856E-02,-4.83305E+00
-5.9624928E-02,-4.85258E+00
-5.9624000E-02,-4.81352E+00
