in s,C2 in V
-8.65600E-07,-1.47227E+00
-8.64800E-07,-1.51133E+00
-8.64000E-07,-1.51133E+00
-8.63200E-07,-1.51133E+00
-8.62400E-07,-1.49180E+00
-8.61600E-07,-1.51133E+00
-8.60800E-07,-1.49180E+00
-8.60000E-07,-1.49180E+00
-8.59200E-07,-1.49180E+00
-8.58400E-07,-1.51133E+00
-8.57600E-07,-1.51133E+00
-8.56800E-07,-1.49180E+00
-8.56000E-07,-1.51133E+00
-8.55200E-07,-1.53086E+00
-8.54400E-07,-1.51133E+00
-8.53600E-07,-1.51133E+00
-8.52800E-07,-1.51133E+00
-8.52000E-07,-1.53086E+00
-8.51200E-07,-1.53086E+00
-8.50400E-07,-1.47227E+00
-8.49600E-07,-1.55039E+00
-8.48800E-07,-1.55039E+00
-8.48000E-07,-1.56992E+00
-8.47200E-07,-1.56992E+00
-8.46400E-07,-1.58945E+00
-8.45600E-07,-1.64805E+00
-8.44800E-07,-1.56992E+00
-8.44000E-07,-1.56992E+00
-8.43200E-07,-1.66758E+00
-8.42400E-07,-1.56992E+00
-8.41600E-07,-1.62852E+00
-8.40800E-07,-1.64805E+00
-8.40000E-07,-1.62852E+00
-8.39200E-07,-1.62852E+00
-8.38400E-07,-1.64805E+00
-8.37600E-07,-1.64805E+00
-8.36800E-07,-1.68711E+00
-8.36000E-07,-1.62852E+00
-8.35200E-07,-1.70664E+00
-8.34400E-07,-1.62852E+00
-8.33600E-07,-1.68711E+00
-8.32800E-07,-1.74570E+00
-8.32000E-07,-1.68711E+00
-8.31200E-07,-1.62852E+00
-8.30400E-07,-1.70664E+00
-8.29600E-07,-1.68711E+00
-8.28800E-07,-1.70664E+00
-8.28000E-07,-1.70664E+00
-8.27200E-07,-1.68711E+00
-8.26400E-07,-1.68711E+00
-8.25600E-07,-1.70664E+00
-8.24800E-07,-1.68711E+00
-8.24000E-07,-1.72617E+00
-8.23200E-07,-1.68711E+00
-8.22400E-07,-1.68711E+00
-8.21600E-07,-1.70664E+00
-8.20800E-07,-1.68711E+00
-8.20000E-07,-1.68711E+00
-8.19200E-07,-1.72617E+00
-8.18400E-07,-1.72617E+00
-8.17600E-07,-1.68711E+00
-8.16800E-07,-1.62852E+00
-8.16000E-07,-1.74570E+00
-8.15200E-07,-1.66758E+00
-8.14400E-07,-1.64805E+00
-8.13600E-07,-1.68711E+00
-8.12800E-07,-1.68711E+00
-8.12000E-07,-1.66758E+00
-8.11200E-07,-1.68711E+00
-8.10400E-07,-1.68711E+00
-8.09600E-07,-1.70664E+00
-8.08800E-07,-1.66758E+00
-8.08000E-07,-1.70664E+00
-8.07200E-07,-1.66758E+00
-8.06400E-07,-1.64805E+00
