in s,C1 in V
-1.8530432E-03,4.87559E-02
-1.8530144E-03,4.82676E-02
-1.8529856E-03,4.87559E-02
-1.8529568E-03,4.87559E-02
-1.8529280E-03,4.72910E-02
-1.8528992E-03,4.87559E-02
-1.8528704E-03,4.82676E-02
-1.8528416E-03,4.92441E-02
-1.8528128E-03,4.77793E-02
-1.8527840E-03,4.72910E-02
-1.8527552E-03,4.77793E-02
-1.8527264E-03,4.72910E-02
-1.8526976E-03,4.87559E-02
-1.8526688E-03,4.92441E-02
-1.8526400E-03,4.72910E-02
-1.8526112E-03,4.77793E-02
-1.8525824E-03,4.87559E-02
-1.8525536E-03,4.72910E-02
-1.8525248E-03,4.77793E-02
-1.8524960E-03,4.63145E-02
-1.8524672E-03,4.77793E-02
-1.8524384E-03,4.87559E-02
-1.8524096E-03,4.77793E-02
-1.8523808E-03,4.92441E-02
-1.8523520E-03,4.63145E-02
-1.8523232E-03,4.72910E-02
-1.8522944E-03,4.77793E-02
-1.8522656E-03,4.72910E-02
-1.8522368E-03,4.87559E-02
-1.8522080E-03,4.72910E-02
-1.8521792E-03,4.87559E-02
-1.8521504E-03,4.92441E-02
-1.8521216E-03,4.82676E-02
-1.8520928E-03,4.72910E-02
-1.8520640E-03,4.82676E-02
-1.8520352E-03,4.87559E-02
-1.8520064E-03,4.77793E-02
-1.8519776E-03,4.77793E-02
-1.8519488E-03,4.92441E-02
-1.8519200E-03,4.77793E-02
-1.8518912E-03,4.82676E-02
-1.8518624E-03,4.77793E-02
-1.8518336E-03,4.68027E-02
-1.8518048E-03,4.68027E-02
-1.8517760E-03,4.77793E-02
-1.8517472E-03,4.82676E-02
-1.8517184E-03,4.77793E-02
-1.8516896E-03,4.87559E-02
-1.8516608E-03,4.92441E-02
-1.8516320E-03,4.72910E-02
-1.8516032E-03,4.72910E-02
-1.8515744E-03,4.72910E-02
-1.8515456E-03,4.77793E-02
-1.8515168E-03,4.77793E-02
-1.8514880E-03,4.82676E-02
-1.8514592E-03,4.72910E-02
-1.8514304E-03,4.82676E-02
-1.8514016E-03,4.72910E-02
-1.8513728E-03,4.77793E-02
-1.8513440E-03,4.82676E-02
-1.8513152E-03,4.82676E-02
-1.8512864E-03,4.72910E-02
-1.8512576E-03,4.82676E-02
-1.8512288E-03,4.77793E-02
-1.8512000E-03,4.72910E-02
-1.8511712E-03,4.77793E-02
-1.8511424E-03,4.77793E-02
-1.8511136E-03,4.87559E-02
-1.8510848E-03,4.87559E-02
-1.8510560E-03,4.68027E-02
-1.8510272E-03,4.72910E-02
-1.8509984E-03,4.72910E-02
-1.8509696E-03,4.87559E-02
-1.8509408E-03,4.77793E-02
-1.8509120E-03,4.77793E-02
-1.8508832E-03,4.63145E-02
-1.8508544E-03,4.77793E-02
-1.8508256E-03,4.72910E-02
-1.8507968E-03,4.77793E-02
-1.8507680E-03,4.63145E-02
-1.8507392E-03,4.77793E-02
-1.8507104E-03,4.72910E-02
